	cluster_n	completeness	contamination	data_frac	f1_macro	hash	homogeneity	in_f1	min_cluster_sizes_	mix_ratios_	n_comps_	out_f1	out_prec	out_rec	seed	time	umap_metrics_	v_measure
0	2.0	1.0	0.1	0.15	0.5898779472462843	15|0.4|cosine|90	0.0	0.9216913783635364	90.0	0.4	15.0	0.25806451612903225	0.24627606752730885	0.2710382513661202	43.0	18.34118595000109	cosine	0.0
1	2.0	1.0	0.1	0.15	0.5697457286679113	45|0.3|cosine|90	0.0	0.9178473366282264	90.0	0.3	45.0	0.22164412070759623	0.211519364448858	0.23278688524590163	43.0	21.03684776999944	cosine	0.0
2	2.0	1.0	0.1	0.15	0.4656333983054673	45|0.3|cosine|45	0.0	0.8979681493684788	45.0	0.3	45.0	0.03329864724245577	0.031777557100297914	0.034972677595628415	43.0	21.794649082999968	cosine	0.0
3	2.0	1.0	0.1	0.15	0.6002316596580192	45|0.3|cosine|15	0.0	0.9236683141131247	15.0	0.3	45.0	0.27679500520291367	0.2641509433962264	0.2907103825136612	43.0	21.595522010000423	cosine	0.0
4	3.0	1.0	0.1	0.15	0.5197027853445266	200|0.4|cosine|45	0.0	0.9082921471718837	45.0	0.4	200.0	0.13111342351716962	0.12512413108242304	0.1377049180327869	44.0	71.68905438400179	cosine	0.0
5	2.0	1.0	0.1	0.15	0.4765623169622984	15|0.4|cosine|45	0.0	0.9000549148819329	45.0	0.4	15.0	0.053069719042663895	0.0506454816285998	0.05573770491803279	43.0	17.23233665099906	cosine	0.0
6	2.0	1.0	0.1	0.15	0.6255407344422597	15|0.4|cosine|15	0.0	0.928500823723229	15.0	0.4	15.0	0.32258064516129037	0.30784508440913605	0.33879781420765026	43.0	17.219610662003106	cosine	0.0
7	3.0	1.0	0.1	0.15	0.4662086045505637	15|0.15|cosine|45	0.0	0.8980779791323449	45.0	0.15	15.0	0.03433922996878252	0.03277060575968222	0.036065573770491806	43.0	13.509647475002566	cosine	0.0
8	2.0	1.0	0.1	0.15	0.5369589726974178	15|0.3|cosine|90	0.0	0.9115870400878637	90.0	0.3	15.0	0.16233090530697192	0.15491559086395235	0.17049180327868851	43.0	16.41029625200099	cosine	0.0
9	3.0	1.0	0.1	0.15	0.45643009838392523	45|0.15|cosine|45	0.0	0.8962108731466226	45.0	0.15	45.0	0.016649323621227886	0.015888778550148957	0.017486338797814208	43.0	17.441292576000706	cosine	0.0
10	2.0	1.0	0.1	0.15	0.4708102545113347	15|0.3|cosine|45	0.0	0.8989566172432729	45.0	0.3	15.0	0.042663891779396466	0.0407149950347567	0.04480874316939891	43.0	15.576183123001101	cosine	0.0
11	2.0	1.0	0.1	0.15	0.5179771666092374	3|0.4|cosine|90	0.0	0.9079626578802855	90.0	0.4	3.0	0.1279916753381894	0.1221449851042701	0.13442622950819672	43.0	13.730311199000425	cosine	0.0
12	2.0	1.0	0.1	0.15	0.5162515478739483	3|0.4|cosine|45	0.0	0.9076331685886876	45.0	0.4	3.0	0.12486992715920915	0.11916583912611718	0.13114754098360656	43.0	13.53383281599963	cosine	0.0
13	2.0	1.0	0.1	0.15	0.6249655281971633	3|0.4|cosine|15	0.0	0.928390993959363	15.0	0.4	3.0	0.3215400624349636	0.30685203574975173	0.3377049180327869	43.0	13.344593882000481	cosine	0.0
14	2.0	1.0	0.1	0.15	0.4794383481877803	3|0.3|cosine|90	0.0	0.900604063701263	90.0	0.3	3.0	0.0582726326742976	0.05561072492552135	0.06120218579234973	43.0	12.612256700998842	cosine	0.0
