	as_numpy	contamination	dim_reduce_time	dim_reducer	distance	embedding_dims	f1_macro	fraction	in_f1	k	kwargs	metric	model	model_name	model_train_data	model_type	n_components	n_epochs_without_progress	name	out_f1	out_prec	out_rec	seed	set_op_mix_ratio	time
0	0.0	0.1	18.556203910993645	<class 'umap.umap_.UMAP'>	pn	1.0	0.5668380155409444	0.05	0.9051046025104602	15.0	{'n_components': [2, 8, 64, 128, 256, 300], 'set_op_mix_ratio': [1.0], 'metric': ['cosine']}	cosine	maaten	extvec	unknown	wordembeddingpool	2.0	20.0	UMAP	0.2285714285714286	0.19534883720930232	0.2754098360655738	42.0	1.0	17.93603733899363
1	0.0	0.1	13.683201977997669	<class 'umap.umap_.UMAP'>	pn	1.0	0.48057740653637177	0.05	0.8995215311004785	15.0	{'n_components': [2, 8, 64, 128, 256, 300], 'set_op_mix_ratio': [1.0], 'metric': ['cosine']}	cosine	maaten	extvec	unknown	wordembeddingpool	8.0	20.0	UMAP	0.061633281972265024	0.05813953488372093	0.06557377049180328	42.0	1.0	18.50266960199224
2	0.0	0.1	15.08180374999938	<class 'umap.umap_.UMAP'>	pn	1.0	0.4778349132626	0.05	0.8997692054071876	15.0	{'n_components': [2, 8, 64, 128, 256, 300], 'set_op_mix_ratio': [1.0], 'metric': ['cosine']}	cosine	maaten	extvec	unknown	wordembeddingpool	64.0	20.0	UMAP	0.05590062111801242	0.05309734513274336	0.05901639344262295	42.0	1.0	20.16372056999535
3	0.0	0.1	16.457483816004242	<class 'umap.umap_.UMAP'>	pn	1.0	0.45305312518820495	0.05	0.8966425279789335	15.0	{'n_components': [2, 8, 64, 128, 256, 300], 'set_op_mix_ratio': [1.0], 'metric': ['cosine']}	cosine	maaten	extvec	unknown	wordembeddingpool	128.0	20.0	UMAP	0.00946372239747634	0.00911854103343465	0.009836065573770493	42.0	1.0	25.770949177996954
4	0.0	0.1	22.832260750990827	<class 'umap.umap_.UMAP'>	pn	1.0	0.6518502112580074	0.05	0.933794466403162	15.0	{'n_components': [2, 8, 64, 128, 256, 300], 'set_op_mix_ratio': [1.0], 'metric': ['cosine']}	cosine	maaten	extvec	unknown	wordembeddingpool	256.0	20.0	UMAP	0.36990595611285265	0.35435435435435436	0.38688524590163936	42.0	1.0	56.528441906004446
5	0.0	0.1	26.025286866002716	<class 'umap.umap_.UMAP'>	pn	1.0	0.4649908262555937	0.05	0.8961874896847665	15.0	{'n_components': [2, 8, 64, 128, 256, 300], 'set_op_mix_ratio': [1.0], 'metric': ['cosine']}	cosine	maaten	extvec	unknown	wordembeddingpool	300.0	20.0	UMAP	0.033794162826420886	0.031791907514450865	0.036065573770491806	42.0	1.0	117.66232054399734
6		0.1	3.0080118449404836e-06		pn	1.0	0.5605307862102838	0.05	0.915773858579199	15.0			maaten	extvec	unknown	wordembeddingpool		20.0		0.2052877138413686	0.1952662721893491	0.21639344262295082	42.0		44.46845496998867
7	0.0	0.1	12.63668592099566	<class 'umap.umap_.UMAP'>	pn	1.0	0.7400303972026323	0.05	0.9518804401379537	15.0	{'n_components': [2, 8, 64, 128, 256, 300], 'set_op_mix_ratio': [1.0], 'metric': ['cosine']}	cosine	maaten	glove	unknown	wordembeddingpool	2.0	20.0	UMAP	0.5281803542673108	0.5189873417721519	0.5377049180327869	42.0	1.0	18.976699096005177
8	0.0	0.1	13.135255784000037	<class 'umap.umap_.UMAP'>	pn	1.0	0.48664025970093727	0.05	0.9072739187418085	15.0	{'n_components': [2, 8, 64, 128, 256, 300], 'set_op_mix_ratio': [1.0], 'metric': ['cosine']}	cosine	maaten	glove	unknown	wordembeddingpool	8.0	20.0	UMAP	0.066006600660066	0.0664451827242525	0.06557377049180328	42.0	1.0	18.233066509012133
9	0.0	0.1	13.04168817900063	<class 'umap.umap_.UMAP'>	pn	1.0	0.48743144075617106	0.05	0.9063473839593242	15.0	{'n_components': [2, 8, 64, 128, 256, 300], 'set_op_mix_ratio': [1.0], 'metric': ['cosine']}	cosine	maaten	glove	unknown	wordembeddingpool	64.0	20.0	UMAP	0.06851549755301795	0.06818181818181818	0.06885245901639345	42.0	1.0	18.491409303998807
