	Unnamed: 0	allow_noise	cluster_n	completeness	f1_macro	f1_macro_LOF	hash	homogeneity	in_f1	in_f1_LOF	min_cluster_size	mix_ratio	model_data_frac	model_desc	model_epochs	model_min_count	model_name	model_path	model_train_data	model_type	n_comps	out_f1	out_f1_LOF	out_prec	out_prec_LOF	out_rec	out_rec_LOF	test_data_contamination	test_data_fraction	test_data_name	test_data_path	test_data_seed	time	umap_metric	v_measure
0	0	0.0	3.0	1.0	0.6312927968932234	0.5145259291386592	200|1.0|cosine|90|False	0.0	0.9295991213618892	0.9073036792970895	90.0	1.0	1.0	doc2vecimdb20news101001	10.0	1.0	doc2vec	/home/philipp/projects/dad4td/models/doc2vec_20_news_imdb_10_min1/doc2vec_wiki.bin	imdb_20news	doc2vec	200.0	0.3329864724245577	0.12174817898022892	0.31777557100297915	0.11618669314796425	0.3497267759562841	0.1278688524590164	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	43.0	126.89576703900093	cosine	0.0
1	1	0.0	3.0	1.0	0.5628432537267548	0.5012961855014426	15|0.3|cosine|15|False	0.0	0.9165293794618342	0.9047775947281712	15.0	0.3	1.0	doc2vecimdb20news1010001	100.0	1.0	doc2vec	/home/philipp/projects/dad4td/models/doc2vec_20_news_imdb_100_min1/doc2vec_wiki.bin	imdb_20news	doc2vec	15.0	0.20915712799167527	0.09781477627471384	0.19960278053624628	0.09334657398212512	0.21967213114754094	0.10273224043715846	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	43.0	18.972249134996677	cosine	0.0
2	2	0.0	3.0	1.0	0.6658051715990059	0.5012961855014426	15|0.15|cosine|45|False	0.0	0.9361889071938496	0.9047775947281712	45.0	0.15	1.0	doc2vecimdb20news1010001	100.0	1.0	doc2vec	/home/philipp/projects/dad4td/models/doc2vec_20_news_imdb_100_min1/doc2vec_wiki.bin	imdb_20news	doc2vec	15.0	0.3954214360041624	0.09781477627471384	0.37735849056603776	0.09334657398212512	0.41530054644808745	0.10273224043715846	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	43.0	17.07622137600265	cosine	0.0
3	3	0.0	3.0	1.0	0.7313786835399927	0.5041722167269245	6|1.0|cosine|45|False	0.0	0.9487095002745743	0.9053267435475014	45.0	1.0	1.0	doc2vecimdb20news1010001	100.0	1.0	doc2vec	/home/philipp/projects/dad4td/models/doc2vec_20_news_imdb_100_min1/doc2vec_wiki.bin	imdb_20news	doc2vec	6.0	0.514047866805411	0.10301768990634756	0.490566037735849	0.09831181727904667	0.5398907103825137	0.1081967213114754	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	43.0	25.160903768002754	cosine	0.0
4	4	0.0	3.0	1.0	0.4759871107172021	0.5041722167269245	6|1.0|cosine|15|False	0.0	0.8999450851180669	0.9053267435475014	15.0	1.0	1.0	doc2vecimdb20news1010001	100.0	1.0	doc2vec	/home/philipp/projects/dad4td/models/doc2vec_20_news_imdb_100_min1/doc2vec_wiki.bin	imdb_20news	doc2vec	6.0	0.05202913631633714	0.10301768990634756	0.04965243296921549	0.09831181727904667	0.0546448087431694	0.1081967213114754	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	43.0	24.645199927996146	cosine	0.0
5	5	0.0	3.0	1.0	0.6675307903342951	0.5133755166484665	6|0.4|cosine|90|False	0.0	0.9365183964854475	0.9070840197693576	90.0	0.4	1.0	doc2vecimdb20news1010001	100.0	1.0	doc2vec	/home/philipp/projects/dad4td/models/doc2vec_20_news_imdb_100_min1/doc2vec_wiki.bin	imdb_20news	doc2vec	6.0	0.39854318418314255	0.11966701352757544	0.38033763654419067	0.11420059582919564	0.4185792349726776	0.12568306010928962	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	43.0	18.024223895998148	cosine	0.0
6	6	0.0	3.0	1.0	0.7083704337361377	0.5133755166484665	6|0.4|cosine|45|False	0.0	0.9443163097199342	0.9070840197693576	45.0	0.4	1.0	doc2vecimdb20news1010001	100.0	1.0	doc2vec	/home/philipp/projects/dad4td/models/doc2vec_20_news_imdb_100_min1/doc2vec_wiki.bin	imdb_20news	doc2vec	6.0	0.4724245577523413	0.11966701352757544	0.4508440913604767	0.11420059582919564	0.4961748633879781	0.12568306010928962	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	43.0	17.558258594006475	cosine	0.0
7	7	0.0	3.0	1.0	0.4863408231289368	0.5133755166484665	6|0.4|cosine|15|False	0.0	0.9019220208676552	0.9070840197693576	15.0	0.4	1.0	doc2vecimdb20news1010001	100.0	1.0	doc2vec	/home/philipp/projects/dad4td/models/doc2vec_20_news_imdb_100_min1/doc2vec_wiki.bin	imdb_20news	doc2vec	6.0	0.07075962539021853	0.11966701352757544	0.06752730883813307	0.11420059582919564	0.07431693989071038	0.12568306010928962	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	43.0	17.45864747799351	cosine	0.0
8	8	0.0	3.0	1.0	0.5812498535698388	0.5363837664523216	6|0.3|cosine|45|False	0.0	0.9200439319055465	0.911477210323998	45.0	0.3	1.0	doc2vecimdb20news1010001	100.0	1.0	doc2vec	/home/philipp/projects/dad4td/models/doc2vec_20_news_imdb_100_min1/doc2vec_wiki.bin	imdb_20news	doc2vec	6.0	0.2424557752341311	0.16129032258064518	0.2313803376365442	0.15392254220456802	0.2546448087431694	0.16939890710382513	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	43.0	16.453032286000962	cosine	0.0
9	9	0.0	3.0	1.0	0.7561125520791367	0.5398350039228998	3|1.0|cosine|45|False	0.0	0.9534321801208128	0.9121361889071942	45.0	1.0	1.0	doc2vecimdb20news1010001	100.0	1.0	doc2vec	/home/philipp/projects/dad4td/models/doc2vec_20_news_imdb_100_min1/doc2vec_wiki.bin	imdb_20news	doc2vec	3.0	0.5587929240374611	0.16753381893860564	0.5332671300893744	0.15988083416087387	0.5868852459016394	0.17595628415300546	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	43.0	24.312832407005768	cosine	0.0
