	contamination	dim_reducer	doc2vec_data_frac	doc2vec_epochs	doc2vec_min_count	epochs	f1_macro	fraction	hidden_neurons	in_f1	model_name	model_path	model_train_data	model_type	out_f1	out_prec	out_rec	outlier_detector	seed	time	model_size_params
0	0.1	<eval_cluster_config.NoReduction object at 0x7f67db90de80>	1.0	100.0	1.0	10.0	0.4834121590271421	0.05	[8, 2, 2, 8]	0.901301697149448	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	0.0655226209048362	0.0625	0.06885245901639345	AE	42.0	4.699019298000167	
1	0.1	<eval_cluster_config.NoReduction object at 0x7f67db90de80>	1.0	100.0	1.0	100.0	0.4834121590271421	0.05	[8, 2, 2, 8]	0.901301697149448	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	0.0655226209048362	0.0625	0.06885245901639345	AE	42.0	23.407595967999896	
2	0.1	<eval_cluster_config.NoReduction object at 0x7f67db90de80>	1.0	100.0	1.0	10.0	0.4834121590271421	0.05	[64, 32, 8, 8, 32, 64]	0.901301697149448	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	0.0655226209048362	0.0625	0.06885245901639345	AE	42.0	3.9659553349997623	
3	0.1	<eval_cluster_config.NoReduction object at 0x7f67db90de80>	1.0	100.0	1.0	100.0	0.4834121590271421	0.05	[64, 32, 8, 8, 32, 64]	0.901301697149448	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	0.0655226209048362	0.0625	0.06885245901639345	AE	42.0	27.576528990000043	
4	0.1	<eval_cluster_config.NoReduction object at 0x7f67db90de80>	1.0	100.0	1.0	10.0	0.4834121590271421	0.05	[64, 32, 8, 2, 8, 32, 64]	0.901301697149448	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	0.0655226209048362	0.0625	0.06885245901639345	AE	42.0	4.357449782000003	
5	0.1	<eval_cluster_config.NoReduction object at 0x7f67db90de80>	1.0	100.0	1.0	100.0	0.4834121590271421	0.05	[64, 32, 8, 2, 8, 32, 64]	0.901301697149448	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	0.0655226209048362	0.0625	0.06885245901639345	AE	42.0	28.142148937	
6	0.1	<eval_cluster_config.NoReduction object at 0x7f67db90de80>	1.0	100.0	1.0	10.0	0.4834121590271421	0.05	[128, 64, 32, 8, 8, 32, 64, 128]	0.901301697149448	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	0.0655226209048362	0.0625	0.06885245901639345	AE	42.0	4.694262528999843	
7	0.1	<eval_cluster_config.NoReduction object at 0x7f67db90de80>	1.0	100.0	1.0	10.0	0.48858666160783853	0.05	[8, 2, 2, 8]	0.9022903278958643	doc2vec_wiki_all	/home/philipp/projects/dad4td/models/enwiki_dbow/doc2vec.bin	wiki_EN	doc2vec	0.0748829953198128	0.07142857142857142	0.07868852459016394	AE	42.0	3.386146856999858	
8	0.1	<eval_cluster_config.NoReduction object at 0x7f67db90de80>	1.0	100.0	1.0	100.0	0.48858666160783853	0.05	[8, 2, 2, 8]	0.9022903278958643	doc2vec_wiki_all	/home/philipp/projects/dad4td/models/enwiki_dbow/doc2vec.bin	wiki_EN	doc2vec	0.0748829953198128	0.07142857142857142	0.07868852459016394	AE	42.0	23.620375233999766	
9	0.1	<eval_cluster_config.NoReduction object at 0x7f67db90de80>	1.0	100.0	1.0	10.0	0.48858666160783853	0.05	[64, 32, 8, 8, 32, 64]	0.9022903278958643	doc2vec_wiki_all	/home/philipp/projects/dad4td/models/enwiki_dbow/doc2vec.bin	wiki_EN	doc2vec	0.0748829953198128	0.07142857142857142	0.07868852459016394	AE	42.0	3.9409142059998885	
