	cluster_n	completeness	contamination	data_frac	f1_macro	hash	homogeneity	in_f1	min_cluster_sizes_	mix_ratios_	n_comps_	out_f1	out_prec	out_rec	seed	time	umap_metrics_	v_measure
0	3.0	1.0	0.1	0.015	0.5393772893772895	3|0.3|cosine|30	0.0	0.9120879120879122	30.0	0.3	3.0	0.16666666666666669	0.15841584158415842	0.17582417582417584	42.0	7.358384511000622	cosine	0.0
1	3.0	1.0	0.1	0.015	0.5796817765567766	5|0.6|cosine|60	0.0	0.9197802197802198	60.0	0.6	5.0	0.23958333333333337	0.22772277227722773	0.25274725274725274	42.0	3.6550948590011103	cosine	0.0
2	3.0	1.0	0.1	0.015	0.6775641025641026	5|0.6|cosine|90	0.0	0.9384615384615385	90.0	0.6	5.0	0.4166666666666667	0.39603960396039606	0.43956043956043955	42.0	3.581966060999548	cosine	0.0
3	3.0	1.0	0.1	0.015	0.700595238095238	5|0.6|cosine|120	0.0	0.9428571428571428	120.0	0.6	5.0	0.45833333333333337	0.43564356435643564	0.4835164835164835	42.0	3.6549463929986814	cosine	0.0
4	3.0	1.0	0.1	0.015	0.49331501831501834	5|1.0|cosine|30	0.0	0.9032967032967033	30.0	1.0	5.0	0.08333333333333334	0.07920792079207921	0.08791208791208792	42.0	4.629701199999545	cosine	0.0
5	3.0	1.0	0.1	0.015	0.5681662087912087	5|1.0|cosine|60	0.0	0.9175824175824175	60.0	1.0	5.0	0.21874999999999997	0.2079207920792079	0.23076923076923078	42.0	4.593124078999608	cosine	0.0
6	3.0	1.0	0.1	0.015	0.5854395604395604	5|1.0|cosine|90	0.0	0.9208791208791208	90.0	1.0	5.0	0.25	0.2376237623762376	0.26373626373626374	42.0	4.741997133000041	cosine	0.0
7	1.0	1.0	0.1	0.015	0.47631441957313897	5|1.0|cosine|120	0.0	0.9526288391462779	120.0	1.0	5.0	0.0	0.0	0.0	42.0	4.649917308001022	cosine	0.0
8	3.0	1.0	0.1	0.015	0.5278617216117215	10|0.3|cosine|30	0.0	0.9098901098901098	30.0	0.3	10.0	0.14583333333333334	0.13861386138613863	0.15384615384615385	42.0	2.99602856599995	cosine	0.0
9	3.0	1.0	0.1	0.015	0.6199862637362638	10|0.3|cosine|60	0.0	0.9274725274725275	60.0	0.3	10.0	0.3125	0.297029702970297	0.32967032967032966	42.0	2.9105680879983993	cosine	0.0
10	3.0	1.0	0.1	0.015	0.6718063186813187	10|0.3|cosine|90	0.0	0.9373626373626374	90.0	0.3	10.0	0.40625	0.38613861386138615	0.42857142857142855	42.0	2.914764044000549	cosine	0.0
11	1.0	1.0	0.1	0.015	0.47631441957313897	10|0.3|cosine|120	0.0	0.9526288391462779	120.0	0.3	10.0	0.0	0.0	0.0	42.0	3.017726672000208	cosine	0.0
