	cluster_n	completeness	contamination	data_frac	f1_macro	hash	homogeneity	in_f1	min_cluster_sizes_	mix_ratios_	n_comps_	out_f1	out_prec	out_rec	seed	time	umap_metrics_	v_measure
0	3.0	1.0	0.1	0.15	0.6732828527852588	-1|0.0|cosine|30	0.0	0.9376166941241076	30.0	0.0	-1.0	0.40894901144640994	0.3902681231380338	0.42950819672131146	42.0	288.75230296700465	cosine	0.0
1	3.0	1.0	0.1	0.15	0.6226647032167778	-1|0.0|cosine|30	0.0	0.927951674903899	30.0	0.0	-1.0	0.3173777315296566	0.3028798411122145	0.3333333333333333	43.0	286.28297042000486	cosine	0.0
2	3.0	1.0	0.1	0.15	0.5605424287463692	-1|0.5|cosine|90	0.0	0.9160900604063701	90.0	0.5	-1.0	0.20499479708636836	0.19563058589870905	0.21530054644808744	43.0	288.16296955000143	cosine	0.0
3	3.0	1.0	0.1	0.15	0.6226647032167778	-1|1.0|cosine|30	0.0	0.927951674903899	30.0	1.0	-1.0	0.3173777315296566	0.3028798411122145	0.3333333333333333	43.0	286.3351667310053	cosine	0.0
4	3.0	1.0	0.1	0.15	0.5605424287463692	-1|1.0|cosine|90	0.0	0.9160900604063701	90.0	1.0	-1.0	0.20499479708636836	0.19563058589870905	0.21530054644808744	43.0	288.17539670800033	cosine	0.0
5	3.0	1.0	0.1	0.15	0.4915176793348042	350|0.0|cosine|90	0.0	0.9029104887424493	90.0	0.0	350.0	0.0801248699271592	0.07646474677259185	0.08415300546448087	43.0	228.9587923309955	cosine	0.0
6	3.0	1.0	0.1	0.15	0.6347440343638017	-1|0.0|cosine|30	0.0	0.9302580999450852	30.0	0.0	-1.0	0.33922996878251815	0.323733862959285	0.35628415300546445	44.0	305.214482809999	cosine	0.0
7	3.0	1.0	0.1	0.15	0.5611176349914656	-1|0.0|cosine|90	0.0	0.9161998901702362	90.0	0.0	-1.0	0.2060353798126951	0.19662363455809334	0.21639344262295082	44.0	292.5469050249958	cosine	0.0
8	3.0	1.0	0.1	0.15	0.5605424287463692	-1|0.0|cosine|90	0.0	0.9160900604063701	90.0	0.0	-1.0	0.20499479708636836	0.19563058589870905	0.21530054644808744	43.0	288.2187110750019	cosine	0.0
9	3.0	1.0	0.1	0.15	0.5611176349914656	-1|0.5|cosine|90	0.0	0.9161998901702362	90.0	0.5	-1.0	0.2060353798126951	0.19662363455809334	0.21639344262295082	44.0	314.7418535399993	cosine	0.0
10	3.0	1.0	0.1	0.15	0.6347440343638017	-1|1.0|cosine|30	0.0	0.9302580999450852	30.0	1.0	-1.0	0.33922996878251815	0.323733862959285	0.35628415300546445	44.0	312.19342185700225	cosine	0.0
11	3.0	1.0	0.1	0.15	0.5611176349914656	-1|1.0|cosine|90	0.0	0.9161998901702362	90.0	1.0	-1.0	0.2060353798126951	0.19662363455809334	0.21639344262295082	44.0	313.55982325699733	cosine	0.0
12	3.0	1.0	0.1	0.15	0.6347440343638017	-1|0.5|cosine|30	0.0	0.9302580999450852	30.0	0.5	-1.0	0.33922996878251815	0.323733862959285	0.35628415300546445	44.0	303.07715320999705	cosine	0.0
13	3.0	1.0	0.1	0.15	0.6226647032167778	-1|0.5|cosine|30	0.0	0.927951674903899	30.0	0.5	-1.0	0.3173777315296566	0.3028798411122145	0.3333333333333333	43.0	286.3198072820014	cosine	0.0
14	3.0	1.0	0.1	0.15	0.63819527183438	-1|0.0|cosine|90	0.0	0.9309170785282812	90.0	0.0	-1.0	0.3454734651404786	0.32969215491559084	0.3628415300546448	42.0	290.83271967199835	cosine	0.0
15	3.0	1.0	0.1	0.15	0.6732828527852588	-1|0.5|cosine|30	0.0	0.9376166941241076	30.0	0.5	-1.0	0.40894901144640994	0.3902681231380338	0.42950819672131146	42.0	288.8662604689962	cosine	0.0
16	3.0	1.0	0.1	0.15	0.63819527183438	-1|0.5|cosine|90	0.0	0.9309170785282812	90.0	0.5	-1.0	0.3454734651404786	0.32969215491559084	0.3628415300546448	42.0	290.70399941399955	cosine	0.0
17	3.0	1.0	0.1	0.15	0.6732828527852588	-1|1.0|cosine|30	0.0	0.9376166941241076	30.0	1.0	-1.0	0.40894901144640994	0.3902681231380338	0.42950819672131146	42.0	288.80960212899663	cosine	0.0
18	3.0	1.0	0.1	0.15	0.63819527183438	-1|1.0|cosine|90	0.0	0.9309170785282812	90.0	1.0	-1.0	0.3454734651404786	0.32969215491559084	0.3628415300546448	42.0	290.7662356820001	cosine	0.0
