	as_numpy	contamination	dim_reduce_time	dim_reducer	distance	doc2vec_data_frac	doc2vec_epochs	doc2vec_min_count	embedding_dims	f1_macro	fraction	in_f1	k	kwargs	metric	model	model_name	model_path	model_train_data	model_type	n_components	n_epochs_without_progress	name	out_f1	out_prec	out_rec	seed	set_op_mix_ratio	time
0	0.0	0.1	20.842920404000324	<class 'umap.umap_.UMAP'>	pn	0.1	10.0	30.0	1.0	0.5313315699337608	0.15	0.7379162931807212	15.0	{'n_components': [2, 8, 64, 128, 256, 300], 'set_op_mix_ratio': [1.0], 'metric': ['cosine']}	cosine	maaten	doc2vecwiki011030	/home/philipp/projects/dad4td/models/doc2vec_01_10_30/doc2vec_wiki.bin	wiki_EN	doc2vec	2.0	20.0	UMAP	0.3247468466868005	0.19389053882053459	0.9989071038251366	42.0	1.0	52.854760722999345
1	0.0	0.1	13.126210606998939	<class 'umap.umap_.UMAP'>	pn	0.1	10.0	30.0	1.0	0.5311276119574458	0.15	0.737988557248225	15.0	{'n_components': [2, 8, 64, 128, 256, 300], 'set_op_mix_ratio': [1.0], 'metric': ['cosine']}	cosine	maaten	doc2vecwiki011030	/home/philipp/projects/dad4td/models/doc2vec_01_10_30/doc2vec_wiki.bin	wiki_EN	doc2vec	8.0	20.0	UMAP	0.3242666666666667	0.19363057324840766	0.9967213114754099	42.0	1.0	53.35985016799532
2	0.0	0.1	15.028766820003511	<class 'umap.umap_.UMAP'>	pn	0.1	10.0	30.0	1.0	0.5308383645351118	0.15	0.7376404881748604	15.0	{'n_components': [2, 8, 64, 128, 256, 300], 'set_op_mix_ratio': [1.0], 'metric': ['cosine']}	cosine	maaten	doc2vecwiki011030	/home/philipp/projects/dad4td/models/doc2vec_01_10_30/doc2vec_wiki.bin	wiki_EN	doc2vec	64.0	20.0	UMAP	0.3240362408953633	0.1934662706830717	0.9967213114754099	42.0	1.0	51.787894834000326
3	0.0	0.1	20.282362534999265	<class 'umap.umap_.UMAP'>	pn	0.1	10.0	30.0	1.0	0.5309829797695126	0.15	0.7378145467080317	15.0	{'n_components': [2, 8, 64, 128, 256, 300], 'set_op_mix_ratio': [1.0], 'metric': ['cosine']}	cosine	maaten	doc2vecwiki011030	/home/philipp/projects/dad4td/models/doc2vec_01_10_30/doc2vec_wiki.bin	wiki_EN	doc2vec	128.0	20.0	UMAP	0.3241514128309934	0.1935483870967742	0.9967213114754099	42.0	1.0	51.99024855800235
4	0.0	0.1	37.25800361199799	<class 'umap.umap_.UMAP'>	pn	0.1	10.0	30.0	1.0	0.5315486600810315	0.15	0.7381773059423687	15.0	{'n_components': [2, 8, 64, 128, 256, 300], 'set_op_mix_ratio': [1.0], 'metric': ['cosine']}	cosine	maaten	doc2vecwiki011030	/home/philipp/projects/dad4td/models/doc2vec_01_10_30/doc2vec_wiki.bin	wiki_EN	doc2vec	256.0	20.0	UMAP	0.3249200142196943	0.19401400976438124	0.9989071038251366	42.0	1.0	54.81061010799749
5	0.0	0.1	45.2568633080009	<class 'umap.umap_.UMAP'>	pn	0.1	10.0	30.0	1.0	0.5313445921445262	0.15	0.738249483115093	15.0	{'n_components': [2, 8, 64, 128, 256, 300], 'set_op_mix_ratio': [1.0], 'metric': ['cosine']}	cosine	maaten	doc2vecwiki011030	/home/philipp/projects/dad4td/models/doc2vec_01_10_30/doc2vec_wiki.bin	wiki_EN	doc2vec	300.0	20.0	UMAP	0.3244397011739594	0.19375398342893563	0.9967213114754099	42.0	1.0	58.57942329499929
6		0.1	2.844004484359175e-06		pn	0.1	10.0	30.0	1.0	0.6875208173245376	0.15	0.9403042451534955	15.0			maaten	doc2vecwiki011030	/home/philipp/projects/dad4td/models/doc2vec_01_10_30/doc2vec_wiki.bin	wiki_EN	doc2vec		20.0		0.4347373894955798	0.4146825396825397	0.4568306010928962	42.0		56.680399794997356
7	0.0	0.1	13.577174242993351	<class 'umap.umap_.UMAP'>	pn	0.1	30.0	30.0	1.0	0.5329503220211621	0.15	0.741605438439882	15.0	{'n_components': [2, 8, 64, 128, 256, 300], 'set_op_mix_ratio': [1.0], 'metric': ['cosine']}	cosine	maaten	doc2vecwiki013030	/home/philipp/projects/dad4td/models/doc2vec_01_30_30/doc2vec_wiki.bin	wiki_EN	doc2vec	2.0	20.0	UMAP	0.3242952056024421	0.19402664374731413	0.9868852459016394	42.0	1.0	54.21636612400471
8	0.0	0.1	14.12855821300036	<class 'umap.umap_.UMAP'>	pn	0.1	30.0	30.0	1.0	0.5350392867515142	0.15	0.7426687727491244	15.0	{'n_components': [2, 8, 64, 128, 256, 300], 'set_op_mix_ratio': [1.0], 'metric': ['cosine']}	cosine	maaten	doc2vecwiki013030	/home/philipp/projects/dad4td/models/doc2vec_01_30_30/doc2vec_wiki.bin	wiki_EN	doc2vec	8.0	20.0	UMAP	0.3274098007539042	0.1958762886597938	0.9967213114754099	42.0	1.0	54.990078981994884
9	0.0	0.1	16.029324627001188	<class 'umap.umap_.UMAP'>	pn	0.1	30.0	30.0	1.0	0.5346879503739932	0.15	0.7425667788230447	15.0	{'n_components': [2, 8, 64, 128, 256, 300], 'set_op_mix_ratio': [1.0], 'metric': ['cosine']}	cosine	maaten	doc2vecwiki013030	/home/philipp/projects/dad4td/models/doc2vec_01_30_30/doc2vec_wiki.bin	wiki_EN	doc2vec	64.0	20.0	UMAP	0.32680912192494166	0.19553072625698323	0.994535519125683	42.0	1.0	53.592700360997696
10	0.0	0.1	21.295314771996345	<class 'umap.umap_.UMAP'>	pn	0.1	30.0	30.0	1.0	0.5351422989673542	0.15	0.7426334226251803	15.0	{'n_components': [2, 8, 64, 128, 256, 300], 'set_op_mix_ratio': [1.0], 'metric': ['cosine']}	cosine	maaten	doc2vecwiki013030	/home/philipp/projects/dad4td/models/doc2vec_01_30_30/doc2vec_wiki.bin	wiki_EN	doc2vec	128.0	20.0	UMAP	0.3276511753095281	0.19600686990124516	0.9978142076502732	42.0	1.0	53.259546462999424
11	0.0	0.1	39.66989211499458	<class 'umap.umap_.UMAP'>	pn	0.1	30.0	30.0	1.0	0.5360440598165582	0.15	0.7435475013728721	15.0	{'n_components': [2, 8, 64, 128, 256, 300], 'set_op_mix_ratio': [1.0], 'metric': ['cosine']}	cosine	maaten	doc2vecwiki013030	/home/philipp/projects/dad4td/models/doc2vec_01_30_30/doc2vec_wiki.bin	wiki_EN	doc2vec	256.0	20.0	UMAP	0.32854061826024444	0.19660141966014197	0.9989071038251366	42.0	1.0	54.47378459200263
12	0.0	0.1	48.124749006005004	<class 'umap.umap_.UMAP'>	pn	0.1	30.0	30.0	1.0	0.5352874643406514	0.15	0.7428061259528879	15.0	{'n_components': [2, 8, 64, 128, 256, 300], 'set_op_mix_ratio': [1.0], 'metric': ['cosine']}	cosine	maaten	doc2vecwiki013030	/home/philipp/projects/dad4td/models/doc2vec_01_30_30/doc2vec_wiki.bin	wiki_EN	doc2vec	300.0	20.0	UMAP	0.32776880272841497	0.19609106529209622	0.9978142076502732	42.0	1.0	60.542803697004274
13		0.1	5.019996024202555e-06		pn	0.1	30.0	30.0	1.0	0.6855407407375762	0.15	0.935208771735519	15.0			maaten	doc2vecwiki013030	/home/philipp/projects/dad4td/models/doc2vec_01_30_30/doc2vec_wiki.bin	wiki_EN	doc2vec		20.0		0.4358727097396335	0.3899913718723037	0.49398907103825135	42.0		57.68624431099306
14	0.0	0.1	13.055842229994596	<class 'umap.umap_.UMAP'>	pn	1.0	100.0	1.0	1.0	0.5824429453526644	0.15	0.9195250659630606	15.0	{'n_components': [2, 8, 64, 128, 256, 300], 'set_op_mix_ratio': [1.0], 'metric': ['cosine']}	cosine	maaten	doc2vecimdb20news1010001	/home/philipp/projects/dad4td/models/doc2vec_20_news_imdb_100_min1/doc2vec_wiki.bin	imdb_20news	doc2vec	2.0	20.0	UMAP	0.24536082474226809	0.23219512195121952	0.26010928961748636	42.0	1.0	54.32878959500522
15	0.0	0.1	13.423592355000437	<class 'umap.umap_.UMAP'>	pn	1.0	100.0	1.0	1.0	0.46017495942897946	0.15	0.8908658893739294	15.0	{'n_components': [2, 8, 64, 128, 256, 300], 'set_op_mix_ratio': [1.0], 'metric': ['cosine']}	cosine	maaten	doc2vecimdb20news1010001	/home/philipp/projects/dad4td/models/doc2vec_20_news_imdb_100_min1/doc2vec_wiki.bin	imdb_20news	doc2vec	8.0	20.0	UMAP	0.029484029484029485	0.026785714285714284	0.03278688524590164	42.0	1.0	52.68480120899039
16	0.0	0.1	15.87600024099811	<class 'umap.umap_.UMAP'>	pn	1.0	100.0	1.0	1.0	0.5053945818311899	0.15	0.8966664817793555	15.0	{'n_components': [2, 8, 64, 128, 256, 300], 'set_op_mix_ratio': [1.0], 'metric': ['cosine']}	cosine	maaten	doc2vecimdb20news1010001	/home/philipp/projects/dad4td/models/doc2vec_20_news_imdb_100_min1/doc2vec_wiki.bin	imdb_20news	doc2vec	64.0	20.0	UMAP	0.11412268188302424	0.10101010101010101	0.13114754098360656	42.0	1.0	55.10383545899822
17	0.0	0.1	21.23804982699221	<class 'umap.umap_.UMAP'>	pn	1.0	100.0	1.0	1.0	0.6157308875977983	0.15	0.9148698469444756	15.0	{'n_components': [2, 8, 64, 128, 256, 300], 'set_op_mix_ratio': [1.0], 'metric': ['cosine']}	cosine	maaten	doc2vecimdb20news1010001	/home/philipp/projects/dad4td/models/doc2vec_20_news_imdb_100_min1/doc2vec_wiki.bin	imdb_20news	doc2vec	128.0	20.0	UMAP	0.31659192825112104	0.26844106463878326	0.38579234972677595	42.0	1.0	64.6015829800017
18	0.0	0.1	40.940510957996594	<class 'umap.umap_.UMAP'>	pn	1.0	100.0	1.0	1.0	0.5180509465115902	0.15	0.9004597573810448	15.0	{'n_components': [2, 8, 64, 128, 256, 300], 'set_op_mix_ratio': [1.0], 'metric': ['cosine']}	cosine	maaten	doc2vecimdb20news1010001	/home/philipp/projects/dad4td/models/doc2vec_20_news_imdb_100_min1/doc2vec_wiki.bin	imdb_20news	doc2vec	256.0	20.0	UMAP	0.13564213564213565	0.1211340206185567	0.1540983606557377	42.0	1.0	127.88264338200679
19	0.0	0.1	47.797008873996674	<class 'umap.umap_.UMAP'>	pn	1.0	100.0	1.0	1.0	0.6872767250249954	0.15	0.9393255954672973	15.0	{'n_components': [2, 8, 64, 128, 256, 300], 'set_op_mix_ratio': [1.0], 'metric': ['cosine']}	cosine	maaten	doc2vecimdb20news1010001	/home/philipp/projects/dad4td/models/doc2vec_20_news_imdb_100_min1/doc2vec_wiki.bin	imdb_20news	doc2vec	300.0	20.0	UMAP	0.4352278545826933	0.4094412331406551	0.4644808743169399	42.0	1.0	191.94064737799636
20		0.1	3.0879891710355878e-06		pn	1.0	100.0	1.0	1.0	0.47672668001650337	0.15	0.8982668500687758	15.0			maaten	doc2vecimdb20news1010001	/home/philipp/projects/dad4td/models/doc2vec_20_news_imdb_100_min1/doc2vec_wiki.bin	imdb_20news	doc2vec		20.0		0.05518650996423096	0.05182341650671785	0.05901639344262295	42.0		56.192285470009665
21	0.0	0.1	13.413239039000473	<class 'umap.umap_.UMAP'>	pn	0.1	30.0	30.0	1.0	0.7382650584890434	0.15	0.9286248346465751	15.0	{'n_components': [2, 8, 64, 128, 256, 300], 'set_op_mix_ratio': [1.0], 'metric': ['cosine']}	cosine	maaten	doc2vecwikiimdb20news013030	/home/philipp/projects/dad4td/models/doc2vec_20_news_imdb_wiki_01_30_min30/doc2vec_wiki.bin	wiki_EN_imdb_20news	doc2vec	2.0	20.0	UMAP	0.5479052823315118	0.41092896174863386	0.8218579234972677	42.0	1.0	56.88638136901136
22	0.0	0.1	13.826911208001547	<class 'umap.umap_.UMAP'>	pn	0.1	30.0	30.0	1.0	0.8971338133794198	0.15	0.9803383128295255	15.0	{'n_components': [2, 8, 64, 128, 256, 300], 'set_op_mix_ratio': [1.0], 'metric': ['cosine']}	cosine	maaten	doc2vecwikiimdb20news013030	/home/philipp/projects/dad4td/models/doc2vec_20_news_imdb_wiki_01_30_min30/doc2vec_wiki.bin	wiki_EN_imdb_20news	doc2vec	8.0	20.0	UMAP	0.8139293139293139	0.77601585728444	0.8557377049180328	42.0	1.0	56.63459182699444
23	0.0	0.1	15.893222717000754	<class 'umap.umap_.UMAP'>	pn	0.1	30.0	30.0	1.0	0.8982720600867913	0.15	0.9838100377765786	15.0	{'n_components': [2, 8, 64, 128, 256, 300], 'set_op_mix_ratio': [1.0], 'metric': ['cosine']}	cosine	maaten	doc2vecwikiimdb20news013030	/home/philipp/projects/dad4td/models/doc2vec_20_news_imdb_wiki_01_30_min30/doc2vec_wiki.bin	wiki_EN_imdb_20news	doc2vec	64.0	20.0	UMAP	0.8127340823970038	0.9475982532751092	0.7114754098360656	42.0	1.0	56.83244411299529
24	0.0	0.1	21.673702473010053	<class 'umap.umap_.UMAP'>	pn	0.1	30.0	30.0	1.0	0.9582705178507327	0.15	0.9925255060286977	15.0	{'n_components': [2, 8, 64, 128, 256, 300], 'set_op_mix_ratio': [1.0], 'metric': ['cosine']}	cosine	maaten	doc2vecwikiimdb20news013030	/home/philipp/projects/dad4td/models/doc2vec_20_news_imdb_wiki_01_30_min30/doc2vec_wiki.bin	wiki_EN_imdb_20news	doc2vec	128.0	20.0	UMAP	0.9240155296727677	0.9380630630630631	0.9103825136612022	42.0	1.0	70.6804091869999
25	0.0	0.1	37.549621892001596	<class 'umap.umap_.UMAP'>	pn	0.1	30.0	30.0	1.0	0.8650060543736171	0.15	0.9734464521815778	15.0	{'n_components': [2, 8, 64, 128, 256, 300], 'set_op_mix_ratio': [1.0], 'metric': ['cosine']}	cosine	maaten	doc2vecwikiimdb20news013030	/home/philipp/projects/dad4td/models/doc2vec_20_news_imdb_wiki_01_30_min30/doc2vec_wiki.bin	wiki_EN_imdb_20news	doc2vec	256.0	20.0	UMAP	0.7565656565656566	0.7032863849765258	0.8185792349726776	42.0	1.0	159.53042561700568
