	contamination	dim_reducer	doc2vec_data_frac	doc2vec_epochs	doc2vec_min_count	f1_macro	fraction	in_f1	model_name	model_path	model_train_data	model_type	out_f1	out_prec	out_rec	outlier_detector	seed	time	metric	n_components	set_op_mix_ratio
0	0.1	<eval_cluster_config.NoReduction object at 0x7f6629b4acf8>	1.0	100.0	1.0	0.5007471448566413	1.0	0.895781711795086	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	0.10571257791819656	0.11033868092691622	0.1014587772496312	AE_1_mono	42.0	8.91020986501826			
1	0.1	<eval_cluster_config.NoReduction object at 0x7f6629b4acf8>	1.0	100.0	1.0	0.4989455380807384	1.0	0.8954145603630139	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	0.10247651579846286	0.10697093956141915	0.09834453368300279	AE_3_duo_as	42.0	13.054635948967189			
2	0.1	<eval_cluster_config.NoReduction object at 0x7f6629b4acf8>	1.0	100.0	1.0	0.4997937354130371	1.0	0.8955826889970246	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	0.10400478182904961	0.10855614973262032	0.09981970168824783	AE_2_mono	42.0	9.91593798698159			
3	0.1	<eval_cluster_config.NoReduction object at 0x7f6629b4acf8>	1.0	100.0	1.0	0.49931703069123495	1.0	0.8954831775979938	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	0.10315088378447615	0.10766488413547237	0.09900016390755614	AE_3_mono	42.0	13.47124992404133			
4	0.1	<eval_cluster_config.NoReduction object at 0x7f6629b4acf8>	1.0	100.0	1.0	0.4989356669137934	1.0	0.8954035684787693	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	0.10246776534881737	0.10695187165775401	0.09834453368300279	AE_5_mono	42.0	20.567307685036212			
5	0.1	<eval_cluster_config.NoReduction object at 0x7f6629b4acf8>	1.0	100.0	1.0	0.49855430313635163	1.0	0.8953239593595447	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	0.10178464691315857	0.10623885918003564	0.09768890345844944	AE_10_mono	42.0	37.5563230580301			
6	0.1	<eval_cluster_config.NoReduction object at 0x7f6629b4acf8>	1.0	100.0	1.0	0.4991263488025141	1.0	0.8954433730383815	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	0.10280932456664674	0.1073083778966132	0.09867234879527946	AE_1_duo	42.0	6.284267283976078			
7	0.1	<eval_cluster_config.NoReduction object at 0x7f6629b4acf8>	1.0	100.0	1.0	0.49903100785815374	1.0	0.8954234707585754	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	0.10263854495773203	0.1071301247771836	0.09850844123914113	AE_2_duo	42.0	9.887206916988362			
8	0.1	<eval_cluster_config.NoReduction object at 0x7f6629b4acf8>	1.0	100.0	1.0	0.4991263488025141	1.0	0.8954433730383815	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	0.10280932456664674	0.1073083778966132	0.09867234879527946	AE_3_duo	42.0	13.08792626101058			
9	0.1	<eval_cluster_config.NoReduction object at 0x7f6629b4acf8>	1.0	100.0	1.0	0.49884032596943284	1.0	0.895383666198963	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	0.10229698573990266	0.10677361853832443	0.09818062612686444	AE_5_duo	42.0	19.932590382988565			
