	contamination	dim_reducer	doc2vec_data_frac	doc2vec_epochs	doc2vec_min_count	f1_macro	fraction	in_f1	metric	model_name	model_path	model_train_data	model_type	n_components	out_f1	out_prec	out_rec	outlier_detector	seed	set_op_mix_ratio	time
0	0.1	UMAPModel(set_op_mix_ratio=[1.0], metric=['cosine'], n_components=[8, 16, 32], dim_reducer='umap')	1.0	100.0	1.0	0.9301442151605985	0.05	0.9866534849233811	cosine	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	8.0	0.8736349453978159	0.8333333333333334	0.9180327868852459	AE_10_tiny	42.0	1.0	3.2731304410262965
1	0.1	UMAPModel(set_op_mix_ratio=[1.0], metric=['cosine'], n_components=[8, 16, 32], dim_reducer='umap')	1.0	100.0	1.0	0.9301442151605985	0.05	0.9866534849233811	cosine	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	8.0	0.8736349453978159	0.8333333333333334	0.9180327868852459	AE_30_tiny	42.0	1.0	3.9382127589778975
2	0.1	UMAPModel(set_op_mix_ratio=[1.0], metric=['cosine'], n_components=[8, 16, 32], dim_reducer='umap')	1.0	100.0	1.0	0.9249697125799021	0.05	0.9856648541769649	cosine	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	16.0	0.8642745709828393	0.8244047619047619	0.9081967213114754	AE_10_tiny	42.0	1.0	2.0575492109637707
3	0.1	UMAPModel(set_op_mix_ratio=[1.0], metric=['cosine'], n_components=[8, 16, 32], dim_reducer='umap')	1.0	100.0	1.0	0.9197952099992057	0.05	0.9846762234305487	cosine	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	16.0	0.8549141965678627	0.8154761904761905	0.898360655737705	AE_30_tiny	42.0	1.0	4.029829506995156
4	0.1	UMAPModel(set_op_mix_ratio=[1.0], metric=['cosine'], n_components=[8, 16, 32], dim_reducer='umap')	1.0	100.0	1.0	0.9077213706442474	0.05	0.9823694183555776	cosine	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	32.0	0.8330733229329172	0.7946428571428571	0.8754098360655738	AE_10_tiny	42.0	1.0	2.1725973000284284
5	0.1	UMAPModel(set_op_mix_ratio=[1.0], metric=['cosine'], n_components=[8, 16, 32], dim_reducer='umap')	1.0	100.0	1.0	0.9077213706442474	0.05	0.9823694183555776	cosine	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	32.0	0.8330733229329172	0.7946428571428571	0.8754098360655738	AE_30_tiny	42.0	1.0	4.239213405002374
6	0.1	UMAPModel(set_op_mix_ratio=[1.0], metric=['cosine'], n_components=[8, 16, 32], dim_reducer='umap')	1.0	100.0	1.0	0.8111306558045812	0.05	0.9639149777558083	cosine	doc2vec_wiki_all	/home/philipp/projects/dad4td/models/enwiki_dbow/doc2vec.bin	wiki_EN	doc2vec	8.0	0.6583463338533541	0.6279761904761905	0.6918032786885245	AE_10_tiny	42.0	1.0	2.0698277769843116
7	0.1	UMAPModel(set_op_mix_ratio=[1.0], metric=['cosine'], n_components=[8, 16, 32], dim_reducer='umap')	1.0	100.0	1.0	0.8094058216110157	0.05	0.9635854341736695	cosine	doc2vec_wiki_all	/home/philipp/projects/dad4td/models/enwiki_dbow/doc2vec.bin	wiki_EN	doc2vec	8.0	0.6552262090483619	0.625	0.6885245901639344	AE_30_tiny	42.0	1.0	3.9268935970030725
8	0.1	UMAPModel(set_op_mix_ratio=[1.0], metric=['cosine'], n_components=[8, 16, 32], dim_reducer='umap')	1.0	100.0	1.0	0.9232448783863366	0.05	0.9853353105948263	cosine	doc2vec_wiki_all	/home/philipp/projects/dad4td/models/enwiki_dbow/doc2vec.bin	wiki_EN	doc2vec	16.0	0.861154446177847	0.8214285714285714	0.9049180327868852	AE_10_tiny	42.0	1.0	2.248636147007346
9	0.1	UMAPModel(set_op_mix_ratio=[1.0], metric=['cosine'], n_components=[8, 16, 32], dim_reducer='umap')	1.0	100.0	1.0	0.9215200441927711	0.05	0.9850057670126874	cosine	doc2vec_wiki_all	/home/philipp/projects/dad4td/models/enwiki_dbow/doc2vec.bin	wiki_EN	doc2vec	16.0	0.858034321372855	0.8184523809523809	0.9016393442622951	AE_30_tiny	42.0	1.0	4.025310886034276
