	param_tagged_docs__lower	param_vectorize__min_count	param_reduce_dim__set_op_mix_ratio	param_reduce_dim__n_components	param_reduce_dim__metric	param_vectorize__window	param_vectorize__size	param_tagged_docs	subset	contamination	data_frac	dataset_name	mean_test_f1_macro	mean_test_f1_micro	mean_test_out_f1	mean_test_out_prec	mean_test_out_rec	mean_test_in_f1	params	param_vectorize__min_df	param_vectorize	param_reduce_dim	param_classify__metric	param_classify	mean_score_time	mean_fit_time
0		25.0	0.0	5.0	euclidean	300.0	50.0	TaggedDocsTransformer()		0.1	0.1	imdb_20news	0.5125887834310617	0.8478946011186966	0.10850810062548294	0.12097259816187075	0.10329534112495574	0.9166694662366404	{'classify': LocalOutlierFactor(contamination=0.1, metric='euclidean', novelty=True), 'classify__metric': 'euclidean', 'reduce_dim': UMAP(n_components=5, random_state=42, set_op_mix_ratio=0.0), 'reduce_dim__metric': 'euclidean', 'reduce_dim__n_components': 5, 'reduce_dim__set_op_mix_ratio': 0.0, 'tagged_docs': TaggedDocsTransformer(), 'vectorize': D2VTransformer(min_count=25, seed=42, size=50, window=300), 'vectorize__min_count': 25, 'vectorize__size': 50, 'vectorize__window': 300}		D2VTransformer(min_count=25, seed=42, size=50, window=300)	UMAP(n_components=5, random_state=42, set_op_mix_ratio=0.0)	euclidean	LocalOutlierFactor(contamination=0.1, metric='euclidean', novelty=True)	5.122483730316162	94.4643012682597
1		25.0						TaggedDocsTransformer()		0.1	0.1	imdb_20news	0.5121812623902823	0.8307780498309194	0.11795129370424833	0.1119862255873482	0.12459351556714643	0.9064112310763159	{'classify': LocalOutlierFactor(contamination=0.1, metric='euclidean', novelty=True), 'classify__metric': 'euclidean', 'reduce_dim': 'passthrough', 'tagged_docs': TaggedDocsTransformer(), 'vectorize': D2VTransformer(min_count=25, seed=42), 'vectorize__min_count': 25}		D2VTransformer(min_count=25, seed=42)	passthrough	euclidean	LocalOutlierFactor(contamination=0.1, metric='euclidean', novelty=True)	3.9494314988454176	19.19178930918376
2						300.0	50.0	TaggedDocsTransformer()		0.1	0.1	imdb_20news	0.5109256655947081	0.8254194447989109	0.11874470997786699	0.10973549286474776	0.12947937795807976	0.9031066212115494	{'classify': IsolationForest(contamination=0.1, random_state=42), 'reduce_dim': 'passthrough', 'tagged_docs': TaggedDocsTransformer(), 'vectorize': D2VTransformer(seed=42, size=50, window=300), 'vectorize__size': 50, 'vectorize__window': 300}		D2VTransformer(seed=42, size=50, window=300)	passthrough		IsolationForest(contamination=0.1, random_state=42)	1.8445401986440024	92.73086476325987
3						5.0	300.0	TaggedDocsTransformer()		0.1	0.1	imdb_20news	0.5098830388174213	0.8283945054127054	0.11481257942782593	0.10949679113023833	0.12129334492417658	0.9049534982070168	{'classify': LocalOutlierFactor(contamination=0.1, metric='euclidean', novelty=True), 'classify__metric': 'euclidean', 'reduce_dim': 'passthrough', 'tagged_docs': TaggedDocsTransformer(), 'vectorize': D2VTransformer(seed=42, size=300), 'vectorize__size': 300, 'vectorize__window': 5}		D2VTransformer(seed=42, size=300)	passthrough	euclidean	LocalOutlierFactor(contamination=0.1, metric='euclidean', novelty=True)	8.272126515706379	33.806716998418175
4	True					5.0	100.0	TaggedDocsTransformer(lower=True)		0.1	0.1	imdb_20news	0.5087889467800656	0.8309269258172228	0.1109998302192237	0.10615615615615616	0.11634308895972185	0.9065780633409076	{'classify': LocalOutlierFactor(contamination=0.1, metric='euclidean', novelty=True), 'classify__metric': 'euclidean', 'reduce_dim': 'passthrough', 'tagged_docs': TaggedDocsTransformer(lower=True), 'tagged_docs__lower': True, 'vectorize': D2VTransformer(seed=42), 'vectorize__size': 100, 'vectorize__window': 5}		D2VTransformer(seed=42)	passthrough	euclidean	LocalOutlierFactor(contamination=0.1, metric='euclidean', novelty=True)	4.19038724899292	21.56994422276815
5		75.0						TaggedDocsTransformer()		0.1	0.1	imdb_20news	0.5083532765557802	0.8264625736404433	0.1128912374814014	0.10565755795698467	0.12132554171093725	0.9038153156301592	{'classify': LocalOutlierFactor(contamination=0.1, metric='euclidean', novelty=True), 'classify__metric': 'euclidean', 'reduce_dim': 'passthrough', 'tagged_docs': TaggedDocsTransformer(), 'vectorize': D2VTransformer(min_count=25, seed=42), 'vectorize__min_count': 75}		D2VTransformer(min_count=25, seed=42)	passthrough	euclidean	LocalOutlierFactor(contamination=0.1, metric='euclidean', novelty=True)	3.4714895089467372	16.61117259661357
6		10.0						TaggedDocsTransformer()		0.1	0.1	imdb_20news	0.507677537008136	0.8282459617388716	0.1104194708500692	0.10521922718122452	0.11632699056634148	0.9049356031662028	{'classify': LocalOutlierFactor(contamination=0.1, metric='euclidean', novelty=True), 'classify__metric': 'euclidean', 'reduce_dim': 'passthrough', 'tagged_docs': TaggedDocsTransformer(), 'vectorize': D2VTransformer(min_count=25, seed=42), 'vectorize__min_count': 10}		D2VTransformer(min_count=25, seed=42)	passthrough	euclidean	LocalOutlierFactor(contamination=0.1, metric='euclidean', novelty=True)	4.019153833389281	19.641802469889324
7						100.0	300.0	TaggedDocsTransformer()		0.1	0.1	imdb_20news	0.506701764826249	0.8216982762287586	0.11253426294689754	0.10292315025130973	0.12460961396052675	0.9008692667056004	{'classify': IsolationForest(contamination=0.1, random_state=42), 'reduce_dim': 'passthrough', 'tagged_docs': TaggedDocsTransformer(), 'vectorize': D2VTransformer(seed=42, size=50, window=300), 'vectorize__size': 300, 'vectorize__window': 100}		D2VTransformer(seed=42, size=50, window=300)	passthrough		IsolationForest(contamination=0.1, random_state=42)	2.626096566518148	87.2225604057312
8						50.0	300.0	TaggedDocsTransformer()		0.1	0.1	imdb_20news	0.5066982828506897	0.8313740190135902	0.10651164562887484	0.10228052126200277	0.11142502978202774	0.9068849200725048	{'classify': LocalOutlierFactor(contamination=0.1, metric='euclidean', novelty=True), 'classify__metric': 'euclidean', 'reduce_dim': 'passthrough', 'tagged_docs': TaggedDocsTransformer(), 'vectorize': D2VTransformer(seed=42, size=300, window=50), 'vectorize__size': 300, 'vectorize__window': 50}		D2VTransformer(seed=42, size=300, window=50)	passthrough	euclidean	LocalOutlierFactor(contamination=0.1, metric='euclidean', novelty=True)	11.990339279174805	71.13157391548155
9		25.0	0.0	5.0	euclidean	50.0	50.0	TaggedDocsTransformer()		0.1	0.1	imdb_20news	0.5066714514737081	0.8556345573066207	0.09179351854240823	0.10552708559338958	0.0819569206993142	0.921549384405008	{'classify': LocalOutlierFactor(contamination=0.1, metric='euclidean', novelty=True), 'classify__metric': 'euclidean', 'reduce_dim': UMAP(n_components=5, random_state=42, set_op_mix_ratio=0.0), 'reduce_dim__metric': 'euclidean', 'reduce_dim__n_components': 5, 'reduce_dim__set_op_mix_ratio': 0.0, 'tagged_docs': TaggedDocsTransformer(), 'vectorize': D2VTransformer(min_count=25, seed=42, size=50, window=300), 'vectorize__min_count': 25, 'vectorize__size': 50, 'vectorize__window': 50}		D2VTransformer(min_count=25, seed=42, size=50, window=300)	UMAP(n_components=5, random_state=42, set_op_mix_ratio=0.0)	euclidean	LocalOutlierFactor(contamination=0.1, metric='euclidean', novelty=True)	3.89060918490092	38.84755301475525
